t,__msgtype__,altitude,beams.0.__msgtype__,beams.0.distance,beams.0.id,beams.0.nsd,beams.0.rssi,beams.0.valid,beams.0.velocity,beams.1.__msgtype__,beams.1.distance,beams.1.id,beams.1.nsd,beams.1.rssi,beams.1.valid,beams.1.velocity,beams.2.__msgtype__,beams.2.distance,beams.2.id,beams.2.nsd,beams.2.rssi,beams.2.valid,beams.2.velocity,beams.3.__msgtype__,beams.3.distance,beams.3.id,beams.3.nsd,beams.3.rssi,beams.3.valid,beams.3.velocity,fom,form,header.__msgtype__,header.frame_id,header.stamp.__msgtype__,header.stamp.nanosec,header.stamp.sec,status,time,velocity.__msgtype__,velocity.x,velocity.y,velocity.z,velocity_valid
1724164479.686864,sensors/msg/DVLVelocity,1.0397471189498901,sensors/msg/DVLBeam,1.1682000160217285,0,-93.32601928710938,-49.423458099365234,True,0.008434150367975235,sensors/msg/DVLBeam,1.0501999855041504,1,-94.25871276855469,-49.62125778198242,True,0.022304851561784744,sensors/msg/DVLBeam,1.121000051498413,2,-91.77630615234375,-45.50279998779297,True,0.062015682458877563,sensors/msg/DVLBeam,1.2272000312805176,3,-94.2056655883789,-53.68110656738281,True,0.04399309679865837,0.02063610963523388,json_v3.1,std_msgs/msg/Header,dvl_link,builtin_interfaces/msg/Time,686511278,1724164479,0,111.91272735595703,geometry_msgs/msg/Vector3,0.07022270560264587,-0.029040254652500153,0.035962607711553574,True
1724164479.7916398,sensors/msg/DVLVelocity,1.0397471189498901,sensors/msg/DVLBeam,1.1682000160217285,0,-93.28006744384766,-52.570091247558594,True,0.03226728364825249,sensors/msg/DVLBeam,1.062000036239624,1,-93.78034973144531,-46.229915618896484,True,0.030059384182095528,sensors/msg/DVLBeam,1.1092000007629395,2,-91.96292114257812,-42.108184814453125,True,0.06975359469652176,sensors/msg/DVLBeam,1.2272000312805176,3,-93.33193969726562,-55.108463287353516,True,0.06116170808672905,0.02058570273220539,json_v3.1,std_msgs/msg/Header,dvl_link,builtin_interfaces/msg/Time,790517568,1724164479,0,106.19091796875,geometry_msgs/msg/Vector3,0.06344817578792572,-0.007738332264125347,0.05152089148759842,True
1724164479.8919284,sensors/msg/DVLVelocity,1.0342962741851807,sensors/msg/DVLBeam,1.1564000844955444,0,-93.13714599609375,-52.75682830810547,True,0.06129930540919304,sensors/msg/DVLBeam,1.0501999855041504,1,-94.34033966064453,-52.139564514160156,True,0.04360806941986084,sensors/msg/DVLBeam,1.0974000692367554,2,-91.50665283203125,-44.56755828857422,True,0.07737041264772415,sensors/msg/DVLBeam,1.2390000820159912,3,-93.69608306884766,-51.85614013671875,True,0.08312976360321045,0.02299392968416214,json_v3.1,std_msgs/msg/Header,dvl_link,builtin_interfaces/msg/Time,891248464,1724164479,0,114.01725006103516,geometry_msgs/msg/Vector3,0.05621401220560074,0.020683255046606064,0.07289370894432068,True
1724164480.000077,sensors/msg/DVLVelocity,1.0233944654464722,sensors/msg/DVLBeam,1.1446000337600708,0,-93.02799987792969,-54.89378356933594,True,0.0895073264837265,sensors/msg/DVLBeam,1.0384000539779663,1,-93.9804916381836,-51.49713134765625,True,0.0621456578373909,sensors/msg/DVLBeam,1.0856000185012817,2,-91.29454803466797,-47.02191925048828,True,0.0839649960398674,sensors/msg/DVLBeam,1.2272000312805176,3,-94.51652526855469,-57.608009338378906,True,0.1073208600282669,0.02696985937654972,json_v3.1,std_msgs/msg/Header,dvl_link,builtin_interfaces/msg/Time,998959302,1724164479,0,103.19184875488281,geometry_msgs/msg/Vector3,0.03815791383385658,0.045529529452323914,0.09210937470197678,True
1724164480.0990772,sensors/msg/DVLVelocity,1.0070418119430542,sensors/msg/DVLBeam,1.1092000007629395,0,-92.79288482666016,-59.35980224609375,True,0.11366413533687592,sensors/msg/DVLBeam,1.0384000539779663,1,-93.78135681152344,-53.03083801269531,True,0.08040161430835724,sensors/msg/DVLBeam,1.0738000869750977,2,-91.1673812866211,-51.412452697753906,True,0.0973014384508133,sensors/msg/DVLBeam,1.2036000490188599,3,-94.21812438964844,-53.032257080078125,True,0.13148722052574158,0.03290896117687225,json_v3.1,std_msgs/msg/Header,dvl_link,builtin_interfaces/msg/Time,97730159,1724164480,0,107.88201904296875,geometry_msgs/msg/Vector3,0.032209716737270355,0.0634920671582222,0.11394500732421875,True
1724164480.2000523,sensors/msg/DVLVelocity,0.9961400032043457,sensors/msg/DVLBeam,1.0974000692367554,0,-92.2617416381836,-51.40093231201172,True,0.1259273886680603,sensors/msg/DVLBeam,1.0266000032424927,1,-93.60359954833984,-50.67927551269531,True,0.07381463050842285,sensors/msg/DVLBeam,1.0738000869750977,2,-90.70008087158203,-47.3443489074707,True,0.1191227063536644,sensors/msg/DVLBeam,1.1800000667572021,3,-93.11912536621094,-54.19860076904297,True,0.1498376727104187,0.03706391900777817,json_v3.1,std_msgs/msg/Header,dvl_link,builtin_interfaces/msg/Time,199462413,1724164480,0,111.38105773925781,geometry_msgs/msg/Vector3,0.045581407845020294,0.05758476257324219,0.12820114195346832,True
1724164480.3082952,sensors/msg/DVLVelocity,0.979787290096283,sensors/msg/DVLBeam,1.1092000007629395,0,-91.30123901367188,-51.431251525878906,True,0.14006681740283966,sensors/msg/DVLBeam,1.003000020980835,1,-92.82980346679688,-48.03947067260742,True,0.11331403255462646,sensors/msg/DVLBeam,1.0501999855041504,2,-89.55146789550781,-52.96278762817383,True,0.13677477836608887,sensors/msg/DVLBeam,1.1446000337600708,3,-92.01012420654297,-57.63962936401367,True,0.16390663385391235,0.04016972705721855,json_v3.1,std_msgs/msg/Header,dvl_link,builtin_interfaces/msg/Time,307137012,1724164480,0,107.20157623291016,geometry_msgs/msg/Vector3,0.04455767571926117,0.04949909821152687,0.1496584415435791,True
1724164480.439494,sensors/msg/DVLVelocity,0.9716110229492188,sensors/msg/DVLBeam,1.0974000692367554,0,-92.07540130615234,-49.51988220214844,True,0.14469081163406372,sensors/msg/DVLBeam,0.9912000298500061,1,-93.04480743408203,-51.26071548461914,True,0.12178921699523926,sensors/msg/DVLBeam,1.0384000539779663,2,-90.5184326171875,-47.67958450317383,True,0.15111887454986572,sensors/msg/DVLBeam,1.1446000337600708,3,-92.9688949584961,-52.40123748779297,True,0.17533430457115173,0.04298650100827217,json_v3.1,std_msgs/msg/Header,dvl_link,builtin_interfaces/msg/Time,438783168,1724164480,0,109.90929412841797,geometry_msgs/msg/Vector3,0.055016741156578064,0.04448601230978966,0.1586325466632843,True
1724164480.545651,sensors/msg/DVLVelocity,0.955258309841156,sensors/msg/DVLBeam,1.0501999855041504,0,-92.01246643066406,-52.217185974121094,True,0.14584948122501373,sensors/msg/DVLBeam,0.9794000387191772,1,-92.79133605957031,-45.76169204711914,True,0.12203546613454819,sensors/msg/DVLBeam,1.0501999855041504,2,-90.11795043945312,-48.45893478393555,True,0.1578560620546341,sensors/msg/DVLBeam,1.121000051498413,3,-92.88198852539062,-54.09783172607422,True,0.18138214945793152,0.04464850574731827,json_v3.1,std_msgs/msg/Header,dvl_link,builtin_interfaces/msg/Time,545012235,1724164480,0,108.6008529663086,geometry_msgs/msg/Vector3,0.06521753966808319,0.04441725090146065,0.16530795395374298,True
1724164480.6474447,sensors/msg/DVLVelocity,0.9361801743507385,sensors/msg/DVLBeam,1.0266000032424927,0,-94.4508056640625,-50.8162727355957,True,0.14360441267490387,sensors/msg/DVLBeam,0.9676000475883484,1,-95.02254486083984,-47.38784408569336,True,0.12607990205287933,sensors/msg/DVLBeam,1.0148000717163086,2,-92.8392105102539,-51.62213134765625,True,0.1655016988515854,sensors/msg/DVLBeam,1.1092000007629395,3,-95.03803253173828,-49.40485382080078,True,0.18312925100326538,0.04541582614183426,json_v3.1,std_msgs/msg/Header,dvl_link,builtin_interfaces/msg/Time,646954536,1724164480,0,112.16401672363281,geometry_msgs/msg/Vector3,0.07247383892536163,0.03288757801055908,0.16806715726852417,True
1724164480.752219,sensors/msg/DVLVelocity,0.9252784252166748,sensors/msg/DVLBeam,1.0266000032424927,0,-93.52345275878906,-50.206111907958984,True,0.1284201592206955,sensors/msg/DVLBeam,0.9440000057220459,1,-93.53455352783203,-46.481361389160156,True,0.1299881935119629,sensors/msg/DVLBeam,1.003000020980835,2,-91.45370483398438,-42.10641860961914,True,0.1724499613046646,sensors/msg/DVLBeam,1.0974000692367554,3,-94.11011505126953,-48.69304656982422,True,0.18293024599552155,0.04650994762778282,json_v3.1,std_msgs/msg/Header,dvl_link,builtin_interfaces/msg/Time,751120567,1724164480,0,107.86914825439453,geometry_msgs/msg/Vector3,0.09136664122343063,0.015104612335562706,0.16464625298976898,True
1724164480.8539627,sensors/msg/DVLVelocity,0.9034748673439026,sensors/msg/DVLBeam,1.003000020980835,0,-94.117431640625,-48.1431999206543,True,0.12631507217884064,sensors/msg/DVLBeam,0.9204000234603882,1,-95.0860595703125,-46.76426696777344,True,0.12417082488536835,sensors/msg/DVLBeam,0.9794000387191772,2,-92.7086181640625,-49.18994903564453,True,0.17579223215579987,sensors/msg/DVLBeam,1.0738000869750977,3,-94.10907745361328,-47.6240119934082,True,0.1780366748571396,0.046392589807510376,json_v3.1,std_msgs/msg/Header,dvl_link,builtin_interfaces/msg/Time,852909326,1724164480,0,112.65277862548828,geometry_msgs/msg/Vector3,0.0946386307477951,0.004033349920064211,0.1625111699104309,True
1724164480.957414,sensors/msg/DVLVelocity,0.8843967318534851,sensors/msg/DVLBeam,0.9676000475883484,0,-94.15374755859375,-49.411949157714844,True,0.1253909468650818,sensors/msg/DVLBeam,0.9086000323295593,1,-94.08258819580078,-45.28780746459961,True,0.1212824136018753,sensors/msg/DVLBeam,0.9676000475883484,2,-92.34912109375,-45.88450241088867,True,0.1788996011018753,sensors/msg/DVLBeam,1.0501999855041504,3,-95.22486114501953,-50.3304443359375,True,0.178092360496521,0.04678848013281822,json_v3.1,std_msgs/msg/Header,dvl_link,builtin_interfaces/msg/Time,956658601,1724164480,0,102.81658172607422,geometry_msgs/msg/Vector3,0.09857907146215439,0.0037709202151745558,0.1604263186454773,True
1724164481.0818286,sensors/msg/DVLVelocity,0.8707695007324219,sensors/msg/DVLBeam,0.9794000387191772,0,-92.0946044921875,-52.992706298828125,True,-0.017287151888012886,sensors/msg/DVLBeam,0.8968000411987305,1,-93.11318969726562,-45.79489517211914,True,0.12925994396209717,sensors/msg/DVLBeam,0.932200014591217,2,-89.70065307617188,-50.903236389160156,True,0.18442142009735107,sensors/msg/DVLBeam,1.0266000032424927,3,-92.83868408203125,-49.870994567871094,True,0.17785756289958954,0.04798459634184837,json_v3.1,std_msgs/msg/Header,dvl_link,builtin_interfaces/msg/Time,81331729,1724164481,0,107.43785095214844,geometry_msgs/msg/Vector3,0.10456518083810806,-0.01953131891787052,0.16170963644981384,True
