t,__msgtype__,child_frame_id,header.__msgtype__,header.frame_id,header.stamp.__msgtype__,header.stamp.nanosec,header.stamp.sec,pose.__msgtype__,pose.pose.__msgtype__,pose.pose.orientation.__msgtype__,pose.pose.orientation.w,pose.pose.orientation.x,pose.pose.orientation.y,pose.pose.orientation.z,pose.pose.position.__msgtype__,pose.pose.position.x,pose.pose.position.y,pose.pose.position.z,twist.__msgtype__,twist.twist.__msgtype__,twist.twist.angular.__msgtype__,twist.twist.angular.x,twist.twist.angular.y,twist.twist.angular.z,twist.twist.linear.__msgtype__,twist.twist.linear.x,twist.twist.linear.y,twist.twist.linear.z
1760946523.5868514,nav_msgs/msg/Odometry,vehicle/Ground_Truth,std_msgs/msg/Header,world_ned,builtin_interfaces/msg/Time,586768303,1760946523,geometry_msgs/msg/PoseWithCovariance,geometry_msgs/msg/Pose,geometry_msgs/msg/Quaternion,0.9994117673086677,-0.02316428415509396,-0.006607187048648838,-0.024410661274364757,geometry_msgs/msg/Point,24.2374899461565,-0.206613650427681,3.988427849446863,geometry_msgs/msg/TwistWithCovariance,geometry_msgs/msg/Twist,geometry_msgs/msg/Vector3,-0.015139794516490711,-0.009502987197233791,-0.0011245041499584516,geometry_msgs/msg/Vector3,0.11787898989768539,-0.1746909814013344,0.030995638675905504
1760946523.6886513,nav_msgs/msg/Odometry,vehicle/Ground_Truth,std_msgs/msg/Header,world_ned,builtin_interfaces/msg/Time,688597229,1760946523,geometry_msgs/msg/PoseWithCovariance,geometry_msgs/msg/Pose,geometry_msgs/msg/Quaternion,0.9993893218312374,-0.023931969648098416,-0.0070648322276732674,-0.024460833674605276,geometry_msgs/msg/Point,24.247489752728708,-0.22498780083091546,3.99256074020669,geometry_msgs/msg/TwistWithCovariance,geometry_msgs/msg/Twist,geometry_msgs/msg/Vector3,-0.01513979451649071,-0.009502987197233791,-0.0011245041499584516,geometry_msgs/msg/Vector3,0.1002014361207951,-0.1854503466242234,0.03131534154268431
1760946523.787219,nav_msgs/msg/Odometry,vehicle/Ground_Truth,std_msgs/msg/Header,world_ned,builtin_interfaces/msg/Time,787182932,1760946523,geometry_msgs/msg/PoseWithCovariance,geometry_msgs/msg/Pose,geometry_msgs/msg/Quaternion,0.9993383244091963,-0.02487527239908037,-0.0064158457784307295,-0.025748225434751627,geometry_msgs/msg/Point,24.255515241955557,-0.24418146751789976,3.9966786051395755,geometry_msgs/msg/TwistWithCovariance,geometry_msgs/msg/Twist,geometry_msgs/msg/Vector3,-0.021402522437670386,0.023885694901642995,-0.03680836672252383,geometry_msgs/msg/Vector3,0.08083538713470391,-0.1927389305740875,0.029724565042986276
1760946523.8889308,nav_msgs/msg/Odometry,vehicle/Ground_Truth,std_msgs/msg/Header,world_ned,builtin_interfaces/msg/Time,888869330,1760946523,geometry_msgs/msg/PoseWithCovariance,geometry_msgs/msg/Pose,geometry_msgs/msg/Quaternion,0.999269009526736,-0.025901954089787124,-0.005240677903801615,-0.02762373379713727,geometry_msgs/msg/Point,24.261699336557776,-0.26378599895004723,4.00053707974704,geometry_msgs/msg/TwistWithCovariance,geometry_msgs/msg/Twist,geometry_msgs/msg/Vector3,-0.02140252243767039,0.023885694901643002,-0.036808366722523835,geometry_msgs/msg/Vector3,0.0650932676915141,-0.19454671564652445,0.025605429032381034
1760946523.9872096,nav_msgs/msg/Odometry,vehicle/Ground_Truth,std_msgs/msg/Header,world_ned,builtin_interfaces/msg/Time,987151516,1760946523,geometry_msgs/msg/PoseWithCovariance,geometry_msgs/msg/Pose,geometry_msgs/msg/Quaternion,0.999193741568103,-0.0269284814713911,-0.004065478808195695,-0.02949907759303648,geometry_msgs/msg/Point,24.266457355110763,-0.28327452171279016,4.003867223254518,geometry_msgs/msg/TwistWithCovariance,geometry_msgs/msg/Twist,geometry_msgs/msg/Vector3,-0.02140252243767039,0.023885694901643,-0.036808366722523835,geometry_msgs/msg/Vector3,0.05335773226736452,-0.1908870972619142,0.019060814431765966
1760946524.0887933,nav_msgs/msg/Odometry,vehicle/Ground_Truth,std_msgs/msg/Header,world_ned,builtin_interfaces/msg/Time,88739945,1760946524,geometry_msgs/msg/PoseWithCovariance,geometry_msgs/msg/Pose,geometry_msgs/msg/Quaternion,0.9991125209817012,-0.027954848428422854,-0.002890255492779935,-0.031374245650214294,geometry_msgs/msg/Point,24.270213607429604,-0.3021034451960846,4.00641673162206,geometry_msgs/msg/TwistWithCovariance,geometry_msgs/msg/Twist,geometry_msgs/msg/Vector3,-0.021402522437670386,0.023885694901642992,-0.03680836672252383,geometry_msgs/msg/Vector3,0.04562279832900836,-0.18210544307720225,0.010429466777860151
1760946524.187148,nav_msgs/msg/Odometry,vehicle/Ground_Truth,std_msgs/msg/Header,world_ned,builtin_interfaces/msg/Time,187023781,1760946524,geometry_msgs/msg/PoseWithCovariance,geometry_msgs/msg/Pose,geometry_msgs/msg/Quaternion,0.9990257972652464,-0.029067173738239648,-0.0013059618014988309,-0.03317906377797237,geometry_msgs/msg/Point,24.273397778543202,-0.3198709780248911,4.007983984080237,geometry_msgs/msg/TwistWithCovariance,geometry_msgs/msg/Twist,geometry_msgs/msg/Vector3,-0.02649799543769713,0.0446344257649655,-0.03259607735583583,geometry_msgs/msg/Vector3,0.041524569147178884,-0.16932642722383334,0.0004295274692508993
1760946524.2890334,nav_msgs/msg/Odometry,vehicle/Ground_Truth,std_msgs/msg/Header,world_ned,builtin_interfaces/msg/Time,288981477,1760946524,geometry_msgs/msg/PoseWithCovariance,geometry_msgs/msg/Pose,geometry_msgs/msg/Quaternion,0.9989314438740905,-0.030314344734119873,0.0009199505144150966,-0.03487355207054129,geometry_msgs/msg/Point,24.276321610879776,-0.3364512481888438,4.008588891667599,geometry_msgs/msg/TwistWithCovariance,geometry_msgs/msg/Twist,geometry_msgs/msg/Vector3,-0.02649799543769713,0.0446344257649655,-0.03259607735583583,geometry_msgs/msg/Vector3,0.039804142744048664,-0.15850078616641894,-0.00748320372901992
1760946524.387681,nav_msgs/msg/Odometry,vehicle/Ground_Truth,std_msgs/msg/Header,world_ned,builtin_interfaces/msg/Time,387626200,1760946524,geometry_msgs/msg/PoseWithCovariance,geometry_msgs/msg/Pose,geometry_msgs/msg/Quaternion,0.9988277102027451,-0.031561231068778166,0.0031458541917046474,-0.03656771288949888,geometry_msgs/msg/Point,24.27918412938063,-0.3521695860718526,4.008502269170353,geometry_msgs/msg/TwistWithCovariance,geometry_msgs/msg/Twist,geometry_msgs/msg/Vector3,-0.02649799543769713,0.044634425764965506,-0.032596077355835834,geometry_msgs/msg/Vector3,0.040052202035352466,-0.15055597865308648,-0.012854210933258975
1760946524.489436,nav_msgs/msg/Odometry,vehicle/Ground_Truth,std_msgs/msg/Header,world_ned,builtin_interfaces/msg/Time,489370167,1760946524,geometry_msgs/msg/PoseWithCovariance,geometry_msgs/msg/Pose,geometry_msgs/msg/Quaternion,0.9987145972253022,-0.03280782103355644,0.005371728328434565,-0.038261530326138535,geometry_msgs/msg/Point,24.282151891751827,-0.36725236281153717,4.00797901748495,geometry_msgs/msg/TwistWithCovariance,geometry_msgs/msg/Twist,geometry_msgs/msg/Vector3,-0.026497995437697125,0.044634425764965485,-0.03259607735583582,geometry_msgs/msg/Vector3,0.04222175577251194,-0.14520731236280934,-0.015876887930568778
