t,__msgtype__,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,header.__msgtype__,header.frame_id,header.stamp.__msgtype__,header.stamp.nanosec,header.stamp.sec,mag_x,mag_y,mag_z
1724164483.6405466,messages/msg/IMU,-8.0,27.0,-1017.0,109.0,50.0,47.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,639359951,1724164483,0.0,0.0,0.0
1724164483.7040854,messages/msg/IMU,11.0,14.0,-1003.0,80.0,53.0,30.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,703188896,1724164483,0.0,0.0,0.0
1724164483.7667685,messages/msg/IMU,11.0,14.0,-1003.0,80.0,53.0,30.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,766022920,1724164483,0.0,0.0,0.0
1724164483.8249924,messages/msg/IMU,-5.0,8.0,-996.0,55.0,46.0,37.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,823866367,1724164483,0.0,0.0,0.0
1724164483.9042814,messages/msg/IMU,-5.0,8.0,-996.0,55.0,46.0,37.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,902656078,1724164483,0.0,0.0,0.0
1724164483.972939,messages/msg/IMU,24.0,-6.0,-999.0,42.0,37.0,-17.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,972521781,1724164483,0.0,0.0,0.0
1724164484.0283206,messages/msg/IMU,21.0,19.0,-1007.0,48.0,29.0,-14.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,27134656,1724164484,0.0,0.0,0.0
1724164484.0985355,messages/msg/IMU,26.0,14.0,-1000.0,32.0,41.0,17.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,97937583,1724164484,0.0,0.0,0.0
1724164484.1533751,messages/msg/IMU,26.0,14.0,-1000.0,32.0,41.0,17.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,152799844,1724164484,0.0,0.0,0.0
1724164484.203498,messages/msg/IMU,27.0,8.0,-1003.0,9.0,59.0,28.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,202384471,1724164484,0.0,0.0,0.0
1724164484.2614772,messages/msg/IMU,27.0,8.0,-1003.0,9.0,59.0,28.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,260208606,1724164484,0.0,0.0,0.0
1724164484.3236694,messages/msg/IMU,28.0,13.0,-986.0,-11.0,58.0,-16.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,323041677,1724164484,0.0,0.0,0.0
1724164484.3919291,messages/msg/IMU,28.0,13.0,-986.0,-11.0,58.0,-16.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,391136407,1724164484,0.0,0.0,0.0
1724164484.4351614,messages/msg/IMU,38.0,-7.0,-992.0,-12.0,34.0,-95.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,434049367,1724164484,0.0,0.0,0.0
1724164484.4934318,messages/msg/IMU,38.0,-7.0,-992.0,-12.0,34.0,-95.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,492429733,1724164484,0.0,0.0,0.0
1724164484.5442457,messages/msg/IMU,44.0,-1.0,-995.0,-25.0,29.0,-100.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,543234825,1724164484,0.0,0.0,0.0
1724164484.6099799,messages/msg/IMU,44.0,-1.0,-995.0,-25.0,29.0,-100.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,609061717,1724164484,0.0,0.0,0.0
1724164484.6909108,messages/msg/IMU,36.0,0.0,-981.0,-29.0,20.0,-58.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,689845085,1724164484,0.0,0.0,0.0
1724164484.7764165,messages/msg/IMU,26.0,16.0,-983.0,-37.0,20.0,-24.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,775614261,1724164484,0.0,0.0,0.0
1724164484.8340068,messages/msg/IMU,35.0,15.0,-991.0,-58.0,-2.0,-28.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,833459615,1724164484,0.0,0.0,0.0
1724164484.8916042,messages/msg/IMU,35.0,15.0,-991.0,-58.0,-2.0,-28.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,889310359,1724164484,0.0,0.0,0.0
1724164484.9442835,messages/msg/IMU,41.0,9.0,-980.0,-61.0,-24.0,-19.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,943197965,1724164484,0.0,0.0,0.0
1724164485.0143802,messages/msg/IMU,32.0,14.0,-996.0,-78.0,-41.0,-80.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,12979745,1724164485,0.0,0.0,0.0
1724164485.0694299,messages/msg/IMU,32.0,14.0,-996.0,-78.0,-41.0,-80.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,67833185,1724164485,0.0,0.0,0.0
1724164485.1342382,messages/msg/IMU,25.0,29.0,-985.0,-87.0,-71.0,-136.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,133658170,1724164485,0.0,0.0,0.0
